"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","152.87405657041043","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","901360","29.57001","75.599900000000005","6","61","125050","06100200403","GMS BHUTHAN KHURD","1","4","3","1","Upper Primary only","Co-education","06","078","00388","Fatehabad","388","060435","HARYANA","Fatehabad","Bhuthan Khurd (87)","Department of Education","Rural","06","55050","-22557","True"
"","","152.87405657041043","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","901361","29.570049999999998","75.599900000000005","6","61","125050","06100200401","GPS BHUTHAN KHURD","1","1","3","1","Primary","Co-education","06","078","00388","Fatehabad","388","060435","HARYANA","Fatehabad","Bhuthan Khurd (87)","Department of Education","Rural","06","55050","-22557",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","905233","29.696704","75.629268999999994","6","61","125051","06100403403","GMS KANWALGARH","1","4","3","1","Upper Primary only","Co-education","06","078","00386","Ratia","386","060303","HARYANA","Fatehabad","Kawal Garh(157)","Department of Education","Rural","06","55071","-22663",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","905234","29.696704","75.629268999999994","6","61","125051","06100403401","GPS KANWALGARH","1","1","3","1","Primary","Co-education","06","078","00386","Ratia","386","060303","HARYANA","Fatehabad","Kawal Garh(157)","Department of Education","Rural","06","55071","-22663",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","915567","29.981670000000001","75.628048000000007","3","37","151502","03150202701","GHS DODRA","1","7","3","1","Upper Pr. and Secondary","Co-education","03","047","00248","Budhlada","248","036066","PUNJAB","Mansa","Dodra (219)","Department of Education","Rural","03","55070","-22902",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","919503","30.118386000000001","75.627882999999997","3","37","151504","03150100802","GPS HIRON KALAN","1","1","3","1","Primary","Co-education","03","047","00249","Mansa","249","036137","PUNJAB","Mansa","Heron Kalan (25)","Department of Education","Rural","03","55070","-23017",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","910649","29.86168","75.692869999999999","3","37","151501","03150210702","GPS BRANCH SCH BARETA","1","1","3","2","Primary","Co-education","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Department of Education","Urban","03","55117","-22801",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","910736","29.864087999999999","75.692780999999997","3","37","151501","03150210901","GSS GIRLS BARETA","1","5","2","2","Up. Pr. Secondary and Higher Sec","Girls","03","047","00248","Budhlada","248","800233","PUNJAB","Mansa","Bareta (M Cl)","Department of Education","Urban","03","55117","-22803",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","912968","29.928415000000001","75.693025000000006","3","43","148031","03160604302","GPS DASHMESH NAGAR DASKA","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039883","PUNJAB","Sangrur","Daska (48)","Department of Education","Rural","03","55118","-22857",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","908756","29.805215","75.823161999999996","6","61","125133","06100700105","GGMSPS JAKHAL MANDI","1","1","3","2","Primary","Co-education","06","078","00387","Tohana","387","060411","HARYANA","Fatehabad","Jhakal Mandi (CT)","Department of Education","Urban","06","55212","-22754",""
