"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","38.218514142537281","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","940976","31.047346000000001","75.580787999999998","3","34","144039","03040906601","GPS RAMEWAL","1","1","3","1","Primary","Co-education","03","037","00211","Phillaur","211","030056","PUNJAB","Jalandhar","Ramewal (96)","Department of Education","Rural","03","220143","-95212"
"","","38.218514142537281","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","939675","30.932993","75.556533999999999","3","36","142025","03091104602","GMS KOT MANA","1","4","3","1","Upper Primary only","Co-education","03","041","00230","Jagraon","230","033843","PUNJAB","Ludhiana","Kot Mana (18)","Department of Education","Rural","03","220073","-94824"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","939891","30.94332","75.583791000000005","3","36","142025","03091101903","NEW PUNJAB PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00230","Jagraon","230","033820","PUNJAB","Ludhiana","Bhundri (16)","Pvt. Unaided (Recognized)","Rural","03","220152","-94859"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","939036","30.904885","75.420281000000003","3","36","142033","03091108201","GPS SODIWALA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033872","PUNJAB","Ludhiana","Sodhiwala (42)","Department of Education","Rural","03","219676","-94728"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","940592","31.012063000000001","75.420985999999999","3","34","144041","03041101901","GPS GOBINDPUR","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","029988","PUNJAB","Jalandhar","Baloki (316)","Department of Education","Rural","03","219678","-95092"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","940927","31.042999999999999","75.420000000000002","3","34","144041","03041101402","GOBIND SARVAR SENIOR SECONDARY SCHOOL, BULANDPURI SAHIB (NAKODAR-01)","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","037","00210","Nakodar","210","029977","PUNJAB","Jalandhar","Pasarian (321)","Pvt. Unaided (Recognized)","Rural","03","219675","-95197"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","939404","30.921752999999999","75.520887000000002","3","36","142033","03091105201","GPS MADARPURA","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033840","PUNJAB","Ludhiana","Madarpura (56)","Department of Education","Rural","03","219969","-94785"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","939758","30.936322000000001","75.517313000000001","3","36","142033","03091101302","GHS BHAINI ARAYIAN","1","7","3","1","Upper Pr. and Secondary","Co-education","03","041","00230","Jagraon","230","033837","PUNJAB","Ludhiana","Bhaini Araian (23)","Department of Education","Rural","03","219958","-94835"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","939766","30.936923","75.517264999999995","3","36","142033","03091101303","SATYA BHARTI SCHOOL, BHAINI ARAYIAN","5","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033837","PUNJAB","Ludhiana","Bhaini Araian (23)","Pvt. Unaided (Recognized)","Rural","03","219958","-94837"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","940487","30.996552000000001","75.518934999999999","3","34","144041","03041100601","GSSS BAGHELA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","037","00210","Nakodar","210","030005","PUNJAB","Jalandhar","Raipur Araian (340)","Department of Education","Rural","03","219963","-95039"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","940534","31.003564999999998","75.518518999999998","3","34","144041","03041100602","GPS BAGHELA","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","030006","PUNJAB","Jalandhar","Baghela (336)","Department of Education","Rural","03","219962","-95063"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","940433","30.988398","75.547211000000004","3","34","144041","03041102301","GPS KAIMWALA","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","030008","PUNJAB","Jalandhar","Umrewal (337)","Department of Education","Rural","03","220045","-95012"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","940532","31.003477","75.545387000000005","3","34","144041","03041100501","GPS AWAN KHALSA","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","030009","PUNJAB","Jalandhar","Awan Khalsa  (339)","Department of Education","Rural","03","220040","-95063"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","940685","31.019839999999999","75.549030000000002","3","34","144039","03040906301","GPS RAJOWAL","1","1","3","1","Primary","Co-education","03","037","00211","Phillaur","211","030065","PUNJAB","Jalandhar","Rajowal (83)","Department of Education","Rural","03","220051","-95119"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","939108","30.909472000000001","75.555391","3","36","142033","03091103701","GPS GORSIAN MAKHAN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033826","PUNJAB","Ludhiana","Gorsian Makhan (68)","Department of Education","Rural","03","220069","-94744"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","939118","30.909745000000001","75.553236999999996","3","36","142033","03091103702","SATYA BHARTI SCHOOL, GORSIAN MAKHAN","5","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033826","PUNJAB","Ludhiana","Gorsian Makhan (68)","Pvt. Unaided (Recognized)","Rural","03","220063","-94745"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","940146","30.957881","75.554424999999995","3","36","142033","03091103601","GPS GORSIAN KHAN MOHMAND","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033845","PUNJAB","Ludhiana","Gorsian Khan Mohammad (19)","Department of Education","Rural","03","220066","-94908"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","940560","31.006985","75.552926999999997","3","34","144041","03041100502","GMS AWAN KHALSA","1","4","3","1","Upper Primary only","Co-education","03","037","00211","Phillaur","211","030065","PUNJAB","Jalandhar","Rajowal (83)","Department of Education","Rural","03","220062","-95075"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","941055","31.052852999999999","75.554294999999996","3","34","144039","03040904607","JYOTI MODEL SCHOOL, KOT BADAL (NOORMAHAL)","5","2","3","1","Primary with Upper Primary","Co-education","03","037","00211","Phillaur","211","030067","PUNJAB","Jalandhar","Kot Badal Khan (79)","Pvt. Unaided (Recognized)","Rural","03","220066","-95231"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","941056","31.052914999999999","75.554309000000003","3","34","144039","03040904603","GSSS KOT BADAL KHAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","037","00211","Phillaur","211","030067","PUNJAB","Jalandhar","Kot Badal Khan (79)","Department of Education","Rural","03","220066","-95231"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stname","esriFieldTypeString","State","30","939752","30.936170000000001","75.516677999999999","3","36","142033","03091101301","GPS BHIANI ARAIYAN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033837","PUNJAB","Ludhiana","Bhaini Araian (23)","Department of Education","Rural","03","219956","-94834"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtname","esriFieldTypeString","District","50","940139","30.957243999999999","75.510958000000002","3","36","142033","03091102802","GSSS GAG KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00230","Jagraon","230","033848","PUNJAB","Ludhiana","Gag Kalan (185)","Department of Education","Rural","03","219940","-94906"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilname","esriFieldTypeString","Village","50","940148","30.958214999999999","75.511362000000005","3","36","142033","03091102801","GPS GAG KALAN","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033848","PUNJAB","Ludhiana","Gag Kalan (185)","Department of Education","Rural","03","219941","-94909"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","940190","30.962526","75.512591","3","36","142033","03091100201","GPS AKUWAL","1","1","3","1","Primary","Co-education","03","041","00230","Jagraon","230","033847","PUNJAB","Ludhiana","Ghunewal (187)","Department of Education","Rural","03","219945","-94924"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","940406","30.984518999999999","75.512574000000001","3","34","144041","03041104601","GPS VEHRAN","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","030004","PUNJAB","Jalandhar","Chhaula (341)","Department of Education","Rural","03","219945","-94999"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","udise_stco","esriFieldTypeString","udise_stco","2","940966","31.046612","75.513653000000005","3","34","144041","03041104101","GPS TANDAURA","1","1","3","1","Primary","Co-education","03","037","00210","Nakodar","210","029995","PUNJAB","Jalandhar","Tandaura (45)","Department of Education","Rural","03","219948","-95210"
