"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","916594","30.014368000000001","75.618253999999993","3","37","151502","03150203602","GPS GURADDI","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036072","PUNJAB","Mansa","Guradi (37)","Department of Education","Rural","03","110126","-45859"
"","","76.437028285071975","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","919632","30.122719","75.618542000000005","3","37","151504","03150100806","GOVT MODEL SENIOR SECONDARY SCHOOL HIRON KALAN","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","047","00249","Mansa","249","036137","PUNJAB","Mansa","Heron Kalan (25)","Department of Education","Rural","03","110127","-46042"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","918710","30.090617999999999","75.682277999999997","3","43","148029","03161202101","SARASWATI VIDYA MANDIR SEN SEC SCHOOL","5","3","3","2","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","053","00272","Sunam","272","800275","PUNJAB","Sangrur","Cheema (NP)","Pvt. Unaided (Recognized)","Urban","03","110219","-45988"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","918740","30.091994","75.680706000000001","3","43","148029","03161203403","MLG CONVENT SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800275","PUNJAB","Sangrur","Cheema (NP)","Pvt. Unaided (Recognized)","Urban","03","110217","-45990"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","918948","30.099488999999998","75.680418000000003","3","43","148029","03161202901","GSSS CHEEMA","1","5","3","2","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00272","Sunam","272","800275","PUNJAB","Sangrur","Cheema (NP)","Department of Education","Urban","03","110217","-46003"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","920171","30.138646999999999","75.680531000000002","3","43","148029","03161201801","GPS SHAHPUR KALAN","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039795","PUNJAB","Sangrur","Shahpur Kalan (13)","Department of Education","Rural","03","110217","-46069"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","911236","29.87839","75.703272999999996","3","37","151501","03150200901","GHS BAHADURPUR","1","7","3","1","Upper Pr. and Secondary","Co-education","03","047","00248","Budhlada","248","036041","PUNJAB","Mansa","Bahadarpur (168)","Department of Education","Rural","03","110250","-45631"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","911241","29.878443000000001","75.703169000000003","3","37","151501","03150200902","GPS BAHADURPUR","1","1","3","1","Primary","Co-education","03","047","00248","Budhlada","248","036041","PUNJAB","Mansa","Bahadarpur (168)","Department of Education","Rural","03","110250","-45631"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","912493","29.916815","75.598791000000006","3","37","151505","03150206505","KRISHNA COLLEGE OF HIGHER EDUCATION RALLI","5","11","3","1","Higher Secondary only/Jr. College","Co-education","03","047","00248","Budhlada","248","036058","PUNJAB","Mansa","Rali (222)","Pvt. Unaided (Recognized)","Rural","03","110098","-45695"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","920059","30.134969000000002","75.648652999999996","3","43","148029","03161203701","GPS JHARON","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039794","PUNJAB","Sangrur","Jharon (14)","Department of Education","Rural","03","110170","-46062"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","919712","30.124741","75.798378","3","43","148028","03161205305","LITTLE STARS PUBLIC SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110388","-46045"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","913053","29.930543","75.855011000000005","3","43","148031","03160601702","GHS KHANDEBAD","1","7","3","1","Upper Pr. and Secondary","Co-education","03","053","00273","Lehra","273","039904","PUNJAB","Sangrur","Khandebad (62)","Department of Education","Rural","03","110471","-45719"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","916009","29.992715","75.809685000000002","3","43","148030","03160601602","GSSS GOBINDGAR KHOKHAR","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","053","00272","Sunam","272","039873","PUNJAB","Sangrur","Gobindgarh Jajian (56)","Department of Education","Rural","03","110405","-45823"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","916026","29.993131999999999","75.809577000000004","3","43","148030","03160601501","GPS KHOKHAR KALAN","1","1","3","1","Primary","Co-education","03","053","00272","Sunam","272","039873","PUNJAB","Sangrur","Gobindgarh Jajian (56)","Department of Education","Rural","03","110405","-45824"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","919857","30.129149000000002","75.809713000000002","3","43","148028","03161207201","MANAV JYOTI MODEL SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110405","-46053"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","920041","30.134499000000002","75.810051000000001","3","43","148028","03161207407","MODEL BASIC HIGH SCHOOL","5","6","3","2","Pr. Up Pr. and Secondary Only","Co-education","03","053","00272","Sunam","272","800276","PUNJAB","Sangrur","Sunam Udham Singh Wala (M Cl)","Pvt. Unaided (Recognized)","Urban","03","110405","-46062"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","912245","29.908505999999999","75.870801999999998","3","43","148031","03160604701","GPS BHUTAL KALAN","1","1","3","1","Primary","Co-education","03","053","00273","Lehra","273","039912","PUNJAB","Sangrur","Bhutal Kalan (61)","Department of Education","Rural","03","110494","-45682"
