"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","152.87405657041043","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","940250","30.966864999999999","76.179533000000006","3","36","141115","03090709201","GPS Sansowal Kalan","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033026","PUNJAB","Ludhiana","Jassowal (32)","Department of Education","Rural","03","55472","-23735","True"
"","","152.87405657041043","35.032118000555933","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","940575","31.009284000000001","76.179649999999995","3","40","144517","03060409401","GPS SHAMASHPUR","1","1","3","1","Primary","Co-education","03","039","00218","Nawanshahr","218","","PUNJAB","Shahid Bhagat Singh Nagar"," ","Department of Education","Rural","03","55472","-23771",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","942090","31.145166","76.180205000000001","3","33","144532","03050308302","GSSS SIMBLI","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","038","00217","Garhshankar","217","032057","PUNJAB","Hoshiarpur","Simbli (159)","Department of Education","Rural","03","55472","-23886",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","942870","31.216004000000002","76.180058000000002","3","33","144527","03050309401","GPS BHAMIAN","1","1","3","1","Primary","Co-education","03","038","00217","Garhshankar","217","032035","PUNJAB","Hoshiarpur","Bhambian (262)","Department of Education","Rural","03","55472","-23946",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","942871","31.216014000000001","76.180063000000004","3","33","144527","03050309402","ANAND NIKETAN PUBLIC SCHOOL","5","2","3","1","Primary with Upper Primary","Co-education","03","038","00217","Garhshankar","217","032035","PUNJAB","Hoshiarpur","Bhambian (262)","Pvt. Unaided (Recognized)","Rural","03","55472","-23947",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","937178","30.806657999999999","76.170730000000006","3","36","141114","03091006002","GMS SHAMSHPUR","1","4","3","1","Upper Primary only","Co-education","03","041","00224","Samrala","224","033144","PUNJAB","Ludhiana","Shamaspur (131)","Department of Education","Rural","03","55465","-23599",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","937193","30.807552999999999","76.170595000000006","3","36","141114","03091006001","GPS Shamshpur","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033144","PUNJAB","Ludhiana","Shamaspur (131)","Department of Education","Rural","03","55465","-23599",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","937329","30.815183000000001","76.170135000000002","3","36","141114","03091005001","GPS Paprodi","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033129","PUNJAB","Ludhiana","Paprodi (130)","Department of Education","Rural","03","55465","-23606",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","938039","30.856655","76.171080000000003","3","36","141114","03090700702","GMS BHARTHALA","1","4","3","1","Upper Primary only","Co-education","03","041","00224","Samrala","224","033108","PUNJAB","Ludhiana","Bharthala (89)","Department of Education","Rural","03","55466","-23641",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","938035","30.856584000000002","76.171058000000002","3","36","141114","03090700701","GPS Bharthala","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033108","PUNJAB","Ludhiana","Bharthala (89)","Department of Education","Rural","03","55466","-23641",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","943068","31.228850999999999","76.171096000000006","3","33","144527","03050306001","GPS GARHI MUTTON","1","1","3","1","Primary","Co-education","03","038","00217","Garhshankar","217","031994","PUNJAB","Hoshiarpur","Garhi (264)","Department of Education","Rural","03","55466","-23957",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","943069","31.228857999999999","76.171098999999998","3","33","144527","03050306002","NATIONAL PUBLIC SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","038","00217","Garhshankar","217","031994","PUNJAB","Hoshiarpur","Garhi (264)","Pvt. Unaided (Recognized)","Rural","03","55466","-23957",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","936457","30.764744","76.143545000000003","3","36","141412","03091000301","GPS Bagli Khurd","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033156","PUNJAB","Ludhiana","Bagli Khurd (161)","Department of Education","Rural","03","55446","-23563",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","30","937902","30.848977000000001","76.144396","3","36","141114","03090708801","GPS Rohlan","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033110","PUNJAB","Ludhiana","Rohla (87)","Department of Education","Rural","03","55446","-23635",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","stcode11","esriFieldTypeString","stcode11","2","943182","31.241195999999999","76.143939000000003","3","33","144528","03050314701","GPS SADHOWAL","1","1","3","1","Primary","Co-education","03","038","00217","Garhshankar","217","800179","PUNJAB","Hoshiarpur","Garhshankar (M Cl)","Department of Education","Rural","03","55446","-23968",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","dtcode11","esriFieldTypeString","dtcode11","3","943300","31.253112000000002","76.143877000000003","3","33","144528","03050313901","GPS PURKHOWAL","1","1","3","1","Primary","Co-education","03","038","00217","Garhshankar","217","031999","PUNJAB","Hoshiarpur","Tejpur (267)","Department of Education","Rural","03","55446","-23978",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtcode11","esriFieldTypeString","sdtcode11","5","944525","31.346705","76.143918999999997","3","33","144530","03050702902","GSSS JAIJON DOABA","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","038","00217","Garhshankar","217","031919","PUNJAB","Hoshiarpur","Malewal (344)","Department of Education","Rural","03","55446","-24058",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","sdtname","esriFieldTypeString","Sub-district","30","937848","30.845973000000001","76.165840000000003","3","36","141114","03091003503","SENTINEL INTERNATIONAL SCHOOL","5","3","3","1","Pr. with Up.Pr. Sec. and H.Sec.","Co-education","03","041","00224","Samrala","224","033111","PUNJAB","Ludhiana","Ladhran (86)","Pvt. Unaided (Recognized)","Rural","03","55462","-23632",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","subdt_lgd","esriFieldTypeInteger","subdt_lgd","","941581","31.103221000000001","76.213541000000006","3","40","144516","03060402303","GSSS DAULAT PUR","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","039","00218","Nawanshahr","218","032059","PUNJAB","Shahid Bhagat Singh Nagar","Daulatpur (143)","Department of Education","Rural","03","55497","-23851",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","vilcode11","esriFieldTypeString","vilcode11","6","942070","31.143626999999999","76.212888000000007","3","40","144532","03060500502","GSSS BAKAPUR","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","039","00219","Balachaur","219","032509","PUNJAB","Shahid Bhagat Singh Nagar","Bakapur (164)","Department of Education","Rural","03","55496","-23885",""
