"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__latitude","fieldAliases__longitude","fieldAliases__lgd_state_","fieldAliases__lgd_distri","fieldAliases__pincode","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schmgt","fieldAliases__schcat","fieldAliases__schtype","fieldAliases__rururb","fieldAliases__school_cat","fieldAliases__school_typ","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","fieldAliases__subdt_lgd","fieldAliases__vilcode11","fieldAliases__stname","fieldAliases__dtname","fieldAliases__vilname","fieldAliases__management","fieldAliases__location","fieldAliases__udise_stco","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__latitude","features__attributes__longitude","features__attributes__lgd_state_","features__attributes__lgd_distri","features__attributes__pincode","features__attributes__schcd","features__attributes__schname","features__attributes__schmgt","features__attributes__schcat","features__attributes__schtype","features__attributes__rururb","features__attributes__school_cat","features__attributes__school_typ","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__attributes__subdt_lgd","features__attributes__vilcode11","features__attributes__stname","features__attributes__dtname","features__attributes__vilname","features__attributes__management","features__attributes__location","features__attributes__udise_stco","features__geometry__x","features__geometry__y","exceededTransferLimit"
"vilname","upperLeft","9.5546285356349738","68.5015470000764","objectid","latitude","longitude","lgd_state_","lgd_distri","Pincode","schcd","School","Mngt Code","Cat_Code","Type Code","Rural_Urban","Category","School Type","stcode11","dtcode11","sdtcode11","Sub-district","subdt_lgd","vilcode11","State","District","Village","Management","Location","udise_stco","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","932292","30.553901","76.179449000000005","3","30","147203","03080203901","GPS DANGHERI","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032816","PUNJAB","Fatehgarh Sahib","Dargheri (72)","Department of Education","Rural","03","887548","-374155","True"
"","","9.5546285356349738","35.032117999820365","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","latitude","esriFieldTypeDouble","latitude","","932318","30.555029000000001","76.179480999999996","3","30","147203","03080203902","GMS DANGHERI","1","4","3","1","Upper Primary only","Co-education","03","040","00222","Amloh","222","032816","PUNJAB","Fatehgarh Sahib","Dargheri (72)","Department of Education","Rural","03","887548","-374170",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","longitude","esriFieldTypeDouble","longitude","","932501","30.562380999999998","76.178321999999994","3","30","147203","03080208301","GPS RAJGARH CHHANA","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032817","PUNJAB","Fatehgarh Sahib","Rajgarh Chhanna (73)","Department of Education","Rural","03","887535","-374270",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_state_","esriFieldTypeInteger","lgd_state_","","934603","30.675526000000001","76.177565999999999","3","30","147301","03080208701","GPS RATTAN PALO","1","1","3","1","Primary","Co-education","03","040","00222","Amloh","222","032845","PUNJAB","Fatehgarh Sahib","Rattan Palon (161)","Department of Education","Rural","03","887526","-375802",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","lgd_distri","esriFieldTypeInteger","lgd_distri","","937556","30.829999000000001","76.178263000000001","3","36","141114","03091005901","GPS Shamgarh","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033130","PUNJAB","Ludhiana","Shamgarh (128)","Department of Education","Rural","03","887534","-377896",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeInteger","Pincode","","936285","30.754612999999999","76.109221000000005","3","36","141412","03090401703","GOLD STAR PUBLIC HIGH SCHOOL","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00225","Khanna","225","033210","PUNJAB","Ludhiana","Bija (157)","Pvt. Unaided (Recognized)","Rural","03","886730","-376874",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","937281","30.812521","76.109807000000004","3","36","141418","03091000502","AKAL PUBLIC SCHOOL\n","5","6","3","1","Pr. Up Pr. and Secondary Only","Co-education","03","041","00224","Samrala","224","033121","PUNJAB","Ludhiana","Balala (335)","Pvt. Unaided (Recognized)","Rural","03","886736","-377659",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","933314","30.6069","76.114890000000003","3","36","141414","03090401602","GSSS BIBIPUR","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00225","Khanna","225","033250","PUNJAB","Ludhiana","Bibipur (180)","Department of Education","Rural","03","886796","-374872",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","933717","30.629899000000002","76.115813000000003","3","36","141414","03090408101","GPS TONSA","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033246","PUNJAB","Ludhiana","Taunsa (178)","Department of Education","Rural","03","886806","-375184",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","934413","30.666623999999999","76.115511999999995","3","36","141414","03090404203","GSSS ISRU","1","5","3","1","Up. Pr. Secondary and Higher Sec","Co-education","03","041","00225","Khanna","225","033238","PUNJAB","Ludhiana","Isru (261)","Department of Education","Rural","03","886803","-375681",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","937101","30.803908","76.114767999999998","3","36","141418","03091003901","GPS LOPON","1","1","3","1","Primary","Co-education","03","041","00224","Samrala","224","033123","PUNJAB","Ludhiana","Lopon (334)","Department of Education","Rural","03","886794","-377542",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","934527","30.671823","76.107922000000002","3","36","141414","03090404202","GPS ISRU","1","1","3","1","Primary","Co-education","03","041","00225","Khanna","225","033238","PUNJAB","Ludhiana","Isru (261)","Department of Education","Rural","03","886714","-375752",""
