"displayFieldName","transform__originPosition","transform__scale","transform__translate","fieldAliases__objectid","fieldAliases__schcd","fieldAliases__schname","fieldAliases__schcat","fieldAliases__school_cat","fieldAliases__schtype","fieldAliases__school_typ","fieldAliases__schmgt","fieldAliases__management","fieldAliases__rururb","fieldAliases__location","fieldAliases__pincode","fieldAliases__dtname","fieldAliases__udise_stco","fieldAliases__stname","fieldAliases__vilname","fieldAliases__longitude","fieldAliases__latitude","fieldAliases__stcode11","fieldAliases__dtcode11","fieldAliases__sdtcode11","fieldAliases__sdtname","geometryType","spatialReference__wkid","spatialReference__latestWkid","fields__name","fields__type","fields__alias","fields__length","features__attributes__objectid","features__attributes__schcd","features__attributes__schname","features__attributes__schcat","features__attributes__school_cat","features__attributes__schtype","features__attributes__school_typ","features__attributes__schmgt","features__attributes__management","features__attributes__rururb","features__attributes__location","features__attributes__pincode","features__attributes__dtname","features__attributes__udise_stco","features__attributes__stname","features__attributes__vilname","features__attributes__longitude","features__attributes__latitude","features__attributes__stcode11","features__attributes__dtcode11","features__attributes__sdtcode11","features__attributes__sdtname","features__geometry__x","features__geometry__y"
"vilname","upperLeft","76.437028285071975","68.5015470000764","objectid","schcd","School","Cat_Code","Category","Type Code","School Type","Mngt Code","Management","Rural_Urban","Location","Pincode","District","udise_stco","State","Village","longitude","latitude","stcode11","dtcode11","sdtcode11","Sub-district","esriGeometryPoint","102100","3857","objectid","esriFieldTypeOID","objectid","","1415315","3161104201","GPS RAM NAGAR CHANNA","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148025","Sangrur","03","PUNJAB"," ","75.729200000000006","30.46096","03","053","00270","Dhuri","110288","-46612"
"","","76.437028285071975","35.032117999820365","","","","","","","","","","","","","","","","","","","","","","","","","","schcd","esriFieldTypeString","schcd","11","1416734","3161103601","GPS BADESHA","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148020","Sangrur","03","PUNJAB"," ","75.730655999999996","30.503813999999998","03","053","00270","Dhuri","110290","-46685"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schname","esriFieldTypeString","School","150","1416738","3161103602","GMS BADESHA","4","Upper Primary Only","3","Co-Ed","1","Department of Education","1"," ","148020","Sangrur","03","PUNJAB"," ","75.730959999999996","30.503888","03","053","00270","Dhuri","110290","-46685"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schcat","esriFieldTypeInteger","Cat_Code","","1418651","3160100704","KAPIL MODEL SEN SEC SCHOOL","3","Higher Secondary (1-12)","3","Co-Ed","5","Private Unaided (recognized)","1"," ","148020","Sangrur","03","PUNJAB"," ","75.736982999999995","30.571057","03","053","00269","Malerkotla","110299","-46798"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_cat","esriFieldTypeString","Category","50","1419281","3160101002","GHS PHARWALI","7","Secondary (6-10)","3","Co-Ed","1","Department of Education","1"," ","148020","Sangrur","03","PUNJAB"," ","75.734588000000002","30.592922999999999","03","053","00269","Malerkotla","110296","-46835"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schtype","esriFieldTypeInteger","Type Code","","1419345","3160101001","GPS PHARWALI","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148020","Sangrur","03","PUNJAB"," ","75.734729999999999","30.595005","03","053","00269","Malerkotla","110296","-46839"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","school_typ","esriFieldTypeString","School Type","20","1419907","3160103301","GPS MAHOLI KHURD","1","Primary","3","Co-Ed","1","Department of Education","1"," ","148021","Sangrur","03","PUNJAB"," ","75.734776999999994","30.615365000000001","03","053","00269","Malerkotla","110296","-46873"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","schmgt","esriFieldTypeInteger","Mngt Code","","1422650","3090803802","GMS NANGAL KHURD","4","Upper Primary Only","3","Co-Ed","1","Department of Education","1"," ","141108","Ludhiana","03","PUNJAB"," ","75.734468000000007","30.711786","03","041","00229","Raikot","110295","-47037"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","management","esriFieldTypeString","Management","50","1422668","3090803801","GPS NANGAL KHURD","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141108","Ludhiana","03","PUNJAB"," ","75.733514999999997","30.712381000000001","03","041","00229","Raikot","110294","-47038"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","rururb","esriFieldTypeString","Rural_Urban","50","1417075","3200103504","AKAL ACADEMY MANAL","2","Upper Primary","3","Co-Ed","5","Private Unaided (recognized)","1"," ","148104","Sangrur","03","PUNJAB"," ","75.680301","30.515028999999998","03","053","00270","Dhuri","110217","-46704"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","location","esriFieldTypeString","Location","30","1420260","3090902401","GPS KALSIAN","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141109","Ludhiana","03","PUNJAB"," ","75.678020000000004","30.629919000000001","03","041","00229","Raikot","110213","-46898"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","pincode","esriFieldTypeString","Pincode","6","1422127","3090801601","GPS DHALIAN","1","Primary","3","Co-Ed","1","Department of Education","1"," ","141107","Ludhiana","03","PUNJAB"," ","75.678179","30.694333","03","041","00229","Raikot","110213","-47007"
