UDISE,features__attributes__latitude,features__attributes__longitude,School Name
3041100601,30.996552,75.518935,GSSS BAGHELA
3040904603,31.052915,75.554309,GSSS KOT BADAL KHAN
3091102802,30.957244,75.510958,GSSS GAG KALAN
3091108004,30.929889,75.472266,GSSS SIDHWAN BET G
3091103302,30.930415,75.42214,GSSS GIDDERWINDI
3091108003,30.927289,75.47616499999998,GSSS SIDHWAN BET B
3041106501,31.050536,75.47581099999998,Gsss Mehatpur G
3091101902,30.941328,75.576212,GSSS BHUNDRI
3040112614,31.295311,75.60121499999998,GSSS GARHA
3041004903,31.177183,75.630741,GSSS SAMRAI G
3041004904,31.178947,75.630992,GSSS SAMRAI B
3040811401,31.02307,75.789636,Gsss Phillour B
3041002202,31.152841,75.787554,GSSS GOHAWAR
3100215002,30.868917,75.37370699999998,GSSS TALWANDI MALLIAN
3091108102,30.833086,75.53511799999998,GSSS SIDHWAN KALAN
3040503502,31.175984,75.53677999999998,Gsss Chak Kalan
3040101602,31.236311,75.473358,GSSS CHITTI
3040112632,31.310181,75.492728,GSSS BASTI DANISHMANDA
3100303004,30.77687,75.369478,GSSS CHUHAR CHAK
3040605003,31.133188,75.367813,Gsss Malsian B
3030215602,31.320116,75.36794399999998,GSSS SAIDOWAL
3040605004,31.126858,75.349373,GSSS MALSIAN G
3030216502,31.275898,75.368892,GSSS SIDHWAN DONA
3040111003,31.323815,75.593784,GSSS LADOWALI ROAD G
3040217515,31.347171,75.59604299999998,GSSS SANTOKH PURA
3100211304,30.932613,75.35386099999998,GSSS KISHAN PURA KALAN
3030516702,31.174077,75.266918,Gsss Rampur Jagir
3030504602,31.244448,75.267897,GSSS DUDWINDI
3040810501,31.040489,75.783659,Gsss Phillour G
3040516001,31.1272,75.47969999999998,GSSS NAKODAR (G)
3090308401,30.804966,75.47750999999998,Gsss Jagraon G
3040505603,31.171038,75.460222,Gsss Heran
3040200602,31.3175,75.45833299999998,GSSS ATHOLA
3090502003,30.838274,75.863535,GSSS GILL
3041003402,31.082982,75.71755899999998,GSSS MEHSAMUR
3040801403,31.115787,75.817079,GSSS BARA PIND (B)
3090617713,30.933243,75.85950599999998,Gsss Sekhewaal
3040801404,31.116122,75.819773,Gsss Bara Pind G
3030407802,31.179093,75.758436,GSSS MAULI
3090803602,30.807504,75.75967799999998,GSSS MANSOORAN G
3040803002,31.18278,75.79358,GSSS VIRK
3060303502,31.264409,75.85770999999998,GSSS GHUMAN
3090510608,30.892854,75.871373,Gsss Miller Ganj
3030405602,31.31853,75.80766,GSSS HARBANS PUR
3090500102,30.80263,75.854652,GSSS ALAMGIR
